player_hand,dealer_upcard,result
9H-9D,7C,0
KC-KH,10C,0
4D-4C,3C,0
JD-JS,2C,0
6C-6H,5D,1
7C-7H,2C,1
AD-AS,QS,1
AD-AS,9C,1
6D-6C,6H,1
3C-3H,7S,1
8H-8C,3S,1
AH-AD,KH,1
8S-8D,4H,1
3D-3S,6S,1
QC-QS,3S,0
10D-10C,8C,0
6C-6H,3H,1
9H-9D,5D,1
5S-5C,JH,0
7S-7H,KD,0
QS-QD,AD,0
7H-7S,QS,0
6D-6C,10H,0
AD-AS,KS,1
KH-KD,AS,0
10C-10H,QD,0
AS-AD,10D,1
2H-2S,2D,1
9H-9S,2H,1
9C-9H,AH,0
10H-10C,KS,0
7H-7C,3H,1
7H-7S,3H,1
7C-7H,6H,1
6C-6D,KD,0
JC-JD,KS,0
6S-6D,9S,0
7S-7H,QH,0
9S-9D,6H,1
8C-8S,5D,1
JD-JC,AS,0
9H-9C,7D,0
8D-8H,9H,1
7C-7D,KS,0
3H-3C,2D,1
6C-6S,JS,0
4H-4D,8H,0
6S-6C,8D,0
3H-3C,AD,0
10D-10C,2D,0
10D-10C,9C,0
9S-9H,AS,0
8S-8C,9C,1
QH-QC,10S,0
4S-4D,2H,0
JH-JS,6H,0
10D-10C,5D,0
7C-7H,10C,0
6C-6H,3H,1
4S-4C,QH,0
7D-7S,8C,0
6H-6D,6S,1
AC-AD,QC,1
10D-10H,AC,0
3S-3C,KC,0
10C-10D,5S,0
7C-7H,7S,1
6D-6C,JC,0
QC-QD,3H,0
9H-9S,7D,0
10S-10H,6D,0
7D-7C,4D,1
7D-7H,4D,1
5C-5D,QS,0
2H-2C,AD,0
10D-10H,7S,0
10S-10H,KC,0
AC-AD,AS,1
10D-10C,4S,0
6S-6H,9D,0
KD-KH,QC,0
KH-KC,10D,0
5D-5S,4S,0
KS-KC,9S,0
JH-JC,6S,0
JS-JD,QH,0
KS-KC,QD,0
8H-8D,4H,1
JH-JC,KC,0
AH-AS,KS,1
JH-JS,7D,0
10H-10D,8D,0
8H-8D,4H,1
JS-JH,7D,0
9D-9S,9C,1
5C-5H,6D,0
QH-QD,7D,0
QH-QD,4H,0
2S-2C,QD,0
10C-10H,9D,0
6C-6S,3S,1
6C-6D,3S,1
6H-6S,4S,1
8D-8S,JC,1
7C-7D,QD,0
3H-3D,QC,0
10S-10H,7S,0
KH-KD,QH,0
4H-4S,5H,1
3C-3S,JH,0
6D-6H,QD,0
4D-4C,6C,1
4C-4H,6C,1
10H-10C,AH,0
QH-QD,9D,0
4D-4C,3H,0
KC-KS,7S,0
6H-6C,3S,1
5S-5C,10H,0
KH-KD,10C,0
JH-JD,5S,0
9S-9D,AD,0
4H-4C,2H,0
5D-5H,2S,0
